"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","TEXT","2023-09-13 09:21:53 UTC","","",TRUE,1694596913037,"C","sp","z"
"","TEXT","2023-09-13 08:28:45 UTC","","",FALSE,1694593725606,"C","sp","z"
"","MEDIA","2023-09-13 08:08:50 UTC","","",FALSE,1694592530329,"C","sp","z"
"","TEXT","2023-09-05 11:38:28 UTC","","",FALSE,1693913908282,"C","sp","z"
"","MEDIA","2023-09-05 11:38:28 UTC","","",FALSE,1693913908072,"C","sp","z"
"","TEXT","2023-07-26 08:12:52 UTC","","",FALSE,1690359172070,"C","sp","z"
"","MEDIA","2023-07-26 08:12:51 UTC","","",FALSE,1690359171832,"C","sp","z"
"","MEDIA","2023-07-26 08:11:52 UTC","","",FALSE,1690359112354,"C","sp","z"
"","TEXT","2023-07-26 08:11:48 UTC","","",FALSE,1690359108034,"C","sp","z"
"","MEDIA","2023-07-26 08:11:47 UTC","","",FALSE,1690359107784,"C","sp","z"
"","TEXT","2023-07-26 08:11:15 UTC","","",FALSE,1690359075025,"C","sp","z"
"","MEDIA","2023-07-26 08:11:14 UTC","","",FALSE,1690359074818,"C","sp","z"
"","TEXT","2023-07-26 08:10:56 UTC","","",FALSE,1690359056956,"C","sp","z"
"","MEDIA","2023-07-26 08:10:56 UTC","","",FALSE,1690359056713,"C","sp","z"
"","TEXT","2023-07-19 10:05:47 UTC","","",FALSE,1689761147728,"C","sp","z"
"","MEDIA","2023-07-19 10:05:47 UTC","","",FALSE,1689761147541,"C","sp","z"
"","MEDIA","2023-07-19 10:05:40 UTC","","",FALSE,1689761140821,"C","sp","z"
"","MEDIA","2023-07-19 10:05:20 UTC","","",FALSE,1689761120925,"C","sp","z"
"","MEDIA","2023-07-05 20:29:11 UTC","","",FALSE,1688588951217,"C","sp","z"
"","MEDIA","2023-06-29 07:22:34 UTC","","",FALSE,1688023354034,"C","sp","z"
"","MEDIA","2023-06-29 07:22:21 UTC","","",FALSE,1688023341045,"C","sp","z"
"","MEDIA","2023-06-29 07:20:26 UTC","","",FALSE,1688023226616,"C","sp","z"
"","TEXT","2023-06-23 22:06:18 UTC","","",FALSE,1687557978246,"C","sp","z"
"","TEXT","2023-06-23 22:05:48 UTC","","",FALSE,1687557948989,"C","sp","z"
"","TEXT","2023-06-23 22:05:02 UTC","","",FALSE,1687557902374,"C","sp","z"
"","MEDIA","2023-06-23 22:05:02 UTC","","",FALSE,1687557902234,"C","sp","z"
