"From","Media Type","Created","Content","Conversation Title","IsSender","Created(microseconds)","MainFrom","app","person"
"","TEXT","2022-12-22 16:22:29 UTC","","",TRUE,1671726149822,"G","sp","a"
"","TEXT","2022-12-22 16:22:27 UTC","","",TRUE,1671726147392,"G","sp","a"
"","TEXT","2022-12-22 16:22:15 UTC","","",FALSE,1671726135228,"G","sp","a"
"","TEXT","2022-12-22 16:22:05 UTC","","",TRUE,1671726125846,"G","sp","a"
"","TEXT","2022-12-22 16:22:01 UTC","","",FALSE,1671726121225,"G","sp","a"
"","TEXT","2022-12-22 16:21:50 UTC","","",TRUE,1671726110599,"G","sp","a"
"","TEXT","2022-12-22 16:21:43 UTC","","",TRUE,1671726103706,"G","sp","a"
"","TEXT","2022-12-22 16:21:29 UTC","","",TRUE,1671726089949,"G","sp","a"
"","TEXT","2022-12-22 16:21:24 UTC","","",FALSE,1671726084933,"G","sp","a"
"","TEXT","2022-12-22 16:21:03 UTC","","",TRUE,1671726063318,"G","sp","a"
"","TEXT","2022-12-22 16:21:01 UTC","","",FALSE,1671726061593,"G","sp","a"
"","TEXT","2022-12-22 16:21:00 UTC","","",TRUE,1671726060545,"G","sp","a"
"","TEXT","2022-12-22 16:20:48 UTC","","",FALSE,1671726048685,"G","sp","a"
"","TEXT","2022-12-22 16:20:34 UTC","","",TRUE,1671726034097,"G","sp","a"
"","TEXT","2022-12-22 16:20:30 UTC","","",TRUE,1671726030252,"G","sp","a"
"","TEXT","2022-12-22 16:20:27 UTC","","",FALSE,1671726027341,"G","sp","a"
"","TEXT","2022-12-22 16:20:18 UTC","","",TRUE,1671726018982,"G","sp","a"
"","TEXT","2022-12-22 16:20:15 UTC","","",TRUE,1671726015638,"G","sp","a"
"","TEXT","2022-12-22 16:20:12 UTC","","",FALSE,1671726012304,"G","sp","a"
"","TEXT","2022-12-22 16:20:02 UTC","","",FALSE,1671726002163,"G","sp","a"
"","TEXT","2022-12-22 16:20:00 UTC","","",TRUE,1671726000038,"G","sp","a"
"","TEXT","2022-12-22 16:19:41 UTC","","",FALSE,1671725981962,"G","sp","a"
"","TEXT","2022-12-22 16:19:02 UTC","","",TRUE,1671725942635,"G","sp","a"
"","TEXT","2022-12-22 16:19:01 UTC","","",TRUE,1671725941035,"G","sp","a"
"","TEXT","2022-12-22 16:18:56 UTC","","",FALSE,1671725936886,"G","sp","a"
"","TEXT","2022-12-22 16:18:39 UTC","","",FALSE,1671725919504,"G","sp","a"
"","TEXT","2022-12-22 16:18:38 UTC","","",TRUE,1671725918068,"G","sp","a"
"","TEXT","2022-12-22 16:18:37 UTC","","",TRUE,1671725917181,"G","sp","a"
"","TEXT","2022-12-22 16:18:32 UTC","","",FALSE,1671725912547,"G","sp","a"
"","TEXT","2022-12-22 16:18:22 UTC","","",TRUE,1671725902146,"G","sp","a"
"","TEXT","2022-12-22 16:18:18 UTC","","",FALSE,1671725898156,"G","sp","a"
"","TEXT","2022-12-22 16:18:11 UTC","","",FALSE,1671725891910,"G","sp","a"
"","TEXT","2022-12-22 16:18:10 UTC","","",TRUE,1671725890487,"G","sp","a"
"","TEXT","2022-12-22 16:18:00 UTC","","",FALSE,1671725880612,"G","sp","a"
