"person","app","strDate"
"a","ig","08-08-2018"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","17-02-2017"
"a","ig","10-02-2017"
"a","ig","10-02-2017"
"a","ig","10-02-2017"
"a","ig","10-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","08-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","07-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","06-02-2017"
"a","ig","26-08-2019"
"a","ig","26-08-2019"
"a","ig","20-05-2019"
"a","ig","20-05-2019"
"a","ig","19-05-2019"
"a","ig","19-05-2019"
"a","ig","18-05-2019"
"a","ig","14-04-2023"
"a","ig","14-04-2023"
"a","ig","14-04-2023"
"a","ig","30-10-2022"
"a","ig","12-07-2022"
"a","ig","12-07-2022"
"a","ig","12-07-2022"
"a","ig","28-05-2022"
"a","ig","25-05-2022"
"a","ig","25-05-2022"
"a","ig","25-05-2022"
"a","ig","25-05-2022"
"a","ig","20-04-2022"
"a","ig","04-11-2021"
"a","ig","03-11-2021"
"a","ig","28-10-2021"
"a","ig","28-10-2021"
"a","ig","28-10-2021"
"a","ig","13-10-2021"
"a","ig","12-07-2021"
"a","ig","30-06-2021"
"a","ig","30-06-2021"
"a","ig","30-06-2021"
"a","ig","30-06-2021"
"a","ig","30-06-2021"
"a","ig","30-06-2021"
"a","ig","30-06-2021"
"a","ig","29-06-2021"
"a","ig","29-06-2021"
"a","ig","29-06-2021"
"a","ig","29-06-2021"
"a","ig","29-06-2021"
"a","ig","29-06-2021"
"a","ig","19-06-2020"
"a","ig","19-06-2020"
"a","ig","19-06-2020"
"a","ig","23-04-2020"
"a","ig","23-04-2020"
"a","ig","23-04-2020"
"a","ig","22-04-2020"
"a","ig","22-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","18-04-2020"
"a","ig","24-03-2020"
"a","ig","20-03-2020"
"a","ig","20-03-2020"
"a","ig","18-03-2020"
"a","ig","18-03-2020"
"a","ig","16-03-2020"
